100 1050
31 97 1
85 90 1
93 21 1
56 27 1
92 54 1
21 86 1
18 20 1
82 67 1
59 79 1
54 35 1
12 51 1
37 38 1
41 80 1
88 70 1
19 69 1
22 84 1
84 46 1
95 4 1
52 44 1
92 28 1
23 18 1
58 82 1
33 79 1
5 91 1
15 20 1
56 90 1
92 90 1
85 79 1
31 44 1
61 81 1
49 12 1
94 47 1
12 84 1
70 86 1
25 84 1
82 89 1
33 12 1
98 79 1
47 36 1
85 69 1
100 38 1
3 32 1
72 47 1
83 80 1
51 1 1
4 1 1
73 22 1
75 27 1
41 9 1
74 6 1
64 12 1
20 77 1
8 42 1
64 21 1
82 90 1
88 8 1
92 82 1
32 97 1
29 79 1
27 43 1
96 86 1
32 89 1
78 55 1
21 84 1
8 18 1
88 79 1
80 26 1
88 17 1
56 12 1
94 63 1
82 72 1
59 18 1
29 10 1
93 95 1
96 97 1
12 52 1
58 72 1
31 3 1
23 1 1
94 73 1
67 79 1
56 47 1
80 21 1
89 86 1
37 44 1
99 11 1
19 22 1
82 20 1
21 35 1
12 57 1
48 50 1
68 61 1
50 10 1
88 28 1
29 45 1
82 44 1
70 50 1
58 27 1
14 30 1
47 69 1
75 35 1
95 79 1
3 12 1
14 13 1
82 4 1
15 62 1
47 74 1
45 37 1
27 28 1
62 6 1
14 25 1
28 79 1
45 25 1
58 87 1
19 99 1
63 25 1
13 6 1
21 55 1
71 19 1
83 69 1
73 4 1
20 76 1
63 12 1
15 24 1
26 97 1
66 20 1
28 44 1
21 52 1
88 40 1
73 11 1
54 12 1
22 34 1
5 99 1
60 55 1
58 38 1
75 69 1
70 37 1
100 15 1
63 64 1
63 13 1
41 97 1
41 69 1
65 96 1
3 71 1
72 30 1
95 75 1
25 24 1
23 77 1
58 51 1
12 43 1
59 49 1
45 22 1
19 76 1
65 17 1
92 4 1
95 1 1
8 12 1
64 6 1
64 30 1
4 69 1
26 79 1
32 22 1
56 81 1
30 91 1
71 2 1
63 98 1
29 36 1
75 61 1
2 87 1
92 26 1
12 87 1
97 76 1
68 18 1
88 11 1
44 79 1
19 20 1
37 90 1
53 42 1
63 80 1
48 39 1
19 45 1
45 79 1
41 60 1
42 79 1
66 7 1
30 13 1
72 12 1
88 81 1
64 90 1
3 63 1
51 79 1
78 75 1
59 27 1
30 77 1
22 36 1
29 43 1
73 30 1
65 45 1
53 46 1
14 8 1
54 21 1
49 46 1
70 51 1
5 60 1
14 79 1
59 61 1
69 36 1
92 44 1
73 12 1
7 67 1
78 9 1
70 81 1
14 52 1
4 37 1
89 91 1
73 29 1
7 12 1
95 84 1
32 38 1
48 65 1
66 100 1
98 13 1
66 82 1
11 79 1
43 61 1
33 84 1
7 79 1
11 6 1
29 17 1
15 86 1
45 87 1
12 50 1
88 96 1
19 33 1
9 46 1
63 32 1
66 49 1
86 11 1
96 15 1
85 99 1
70 43 1
20 79 1
50 98 1
92 96 1
86 55 1
12 24 1
72 20 1
59 36 1
3 74 1
63 62 1
94 43 1
22 20 1
97 61 1
73 42 1
94 74 1
92 85 1
80 19 1
56 50 1
55 44 1
31 1 1
85 44 1
92 31 1
59 91 1
59 74 1
59 37 1
52 84 1
78 1 1
15 79 1
83 34 1
21 20 1
70 69 1
52 6 1
93 25 1
82 69 1
71 57 1
25 44 1
100 89 1
64 77 1
96 89 1
68 71 1
80 33 1
18 10 1
86 46 1
29 6 1
47 25 1
67 61 1
74 5 1
49 20 1
12 5 1
36 79 1
2 18 1
75 15 1
95 29 1
95 30 1
93 28 1
31 46 1
78 29 1
4 12 1
63 47 1
82 87 1
65 46 1
88 6 1
4 36 1
23 22 1
28 19 1
19 21 1
41 3 1
68 43 1
14 23 1
82 74 1
73 34 1
7 53 1
8 55 1
83 40 1
8 67 1
3 16 1
63 82 1
82 22 1
2 29 1
12 34 1
74 43 1
14 12 1
29 1 1
75 12 1
84 35 1
87 40 1
66 99 1
68 12 1
40 44 1
58 74 1
27 5 1
95 62 1
8 99 1
71 61 1
98 90 1
92 97 1
70 52 1
4 20 1
93 79 1
83 64 1
20 37 1
72 79 1
43 10 1
82 46 1
