1000 5506
344 974 1
521 182 1
280 213 1
91 254 1
821 254 1
107 974 1
479 486 1
254 839 1
306 209 1
147 81 1
532 254 1
478 464 1
257 930 1
18 254 1
751 498 1
110 254 1
826 370 1
245 254 1
837 738 1
91 326 1
303 974 1
768 930 1
131 186 1
595 130 1
254 756 1
254 684 1
108 759 1
307 874 1
312 941 1
644 781 1
254 434 1
454 381 1
536 654 1
416 482 1
359 705 1
624 974 1
718 326 1
241 974 1
197 254 1
43 254 1
425 914 1
92 948 1
890 634 1
718 509 1
812 576 1
461 29 1
951 890 1
20 128 1
895 376 1
472 254 1
661 593 1
254 605 1
19 354 1
978 436 1
254 57 1
138 712 1
617 382 1
246 225 1
468 806 1
746 410 1
18 70 1
254 250 1
645 974 1
725 809 1
254 836 1
25 12 1
254 849 1
494 985 1
269 268 1
666 616 1
401 394 1
707 649 1
539 254 1
360 507 1
29 205 1
913 298 1
391 368 1
987 974 1
720 705 1
506 106 1
485 254 1
232 974 1
971 329 1
821 216 1
557 578 1
222 235 1
762 570 1
663 974 1
651 330 1
254 213 1
74 737 1
401 254 1
69 446 1
556 230 1
812 93 1
148 282 1
692 254 1
924 974 1
406 493 1
352 222 1
30 254 1
258 44 1
966 291 1
428 389 1
666 572 1
888 783 1
550 384 1
283 384 1
599 682 1
571 987 1
586 974 1
543 937 1
254 820 1
48 1 1
78 381 1
254 586 1
254 867 1
528 329 1
976 942 1
683 642 1
909 114 1
304 470 1
448 959 1
959 42 1
25 571 1
761 498 1
702 904 1
725 923 1
463 562 1
96 477 1
254 129 1
367 507 1
154 254 1
544 902 1
31 73 1
817 847 1
564 230 1
254 290 1
892 974 1
81 114 1
568 309 1
253 974 1
599 804 1
766 379 1
64 254 1
695 136 1
906 974 1
210 44 1
100 591 1
732 870 1
834 851 1
254 730 1
406 879 1
399 381 1
709 324 1
913 831 1
481 365 1
528 803 1
499 472 1
255 327 1
897 254 1
418 145 1
633 991 1
333 439 1
254 384 1
748 974 1
647 623 1
641 168 1
159 196 1
388 974 1
622 833 1
264 247 1
735 205 1
254 447 1
254 514 1
827 377 1
290 181 1
623 974 1
841 902 1
23 14 1
254 876 1
743 948 1
354 942 1
418 264 1
30 113 1
292 761 1
531 73 1
254 863 1
202 479 1
62 564 1
100 774 1
879 900 1
361 974 1
822 964 1
361 756 1
596 254 1
705 201 1
37 733 1
744 254 1
254 158 1
474 858 1
539 118 1
254 187 1
679 956 1
254 220 1
523 974 1
704 974 1
485 445 1
987 612 1
944 940 1
965 974 1
653 299 1
385 914 1
852 940 1
254 530 1
879 974 1
263 832 1
627 635 1
720 335 1
465 953 1
11 74 1
431 974 1
101 559 1
307 254 1
879 254 1
893 10 1
721 132 1
862 393 1
996 712 1
265 130 1
864 433 1
895 682 1
471 153 1
718 606 1
825 637 1
421 212 1
596 280 1
462 254 1
912 483 1
254 179 1
831 800 1
103 974 1
849 974 1
789 858 1
694 464 1
561 55 1
667 254 1
412 814 1
402 254 1
990 974 1
900 265 1
781 184 1
353 118 1
524 154 1
786 806 1
956 542 1
113 424 1
121 844 1
801 415 1
731 974 1
77 901 1
475 454 1
151 254 1
757 85 1
559 974 1
331 106 1
191 734 1
985 223 1
719 903 1
287 974 1
562 974 1
417 900 1
405 869 1
724 529 1
441 776 1
877 578 1
706 711 1
298 254 1
350 112 1
641 950 1
34 974 1
574 404 1
328 244 1
639 254 1
450 974 1
622 254 1
675 75 1
736 285 1
96 974 1
406 974 1
324 254 1
170 942 1
928 478 1
587 820 1
334 201 1
257 31 1
373 470 1
711 974 1
976 937 1
750 974 1
140 279 1
954 73 1
38 184 1
709 612 1
890 971 1
349 774 1
568 490 1
615 177 1
244 974 1
319 974 1
23 903 1
242 745 1
132 965 1
958 283 1
51 419 1
860 329 1
559 612 1
549 994 1
260 662 1
757 948 1
151 950 1
254 368 1
614 620 1
198 68 1
338 974 1
254 787 1
923 222 1
516 974 1
967 254 1
64 639 1
760 594 1
484 997 1
721 974 1
665 773 1
254 440 1
254 569 1
23 429 1
604 849 1
723 290 1
831 447 1
890 576 1
734 424 1
312 254 1
26 254 1
254 635 1
30 214 1
334 685 1
743 664 1
617 722 1
878 401 1
55 194 1
939 880 1
548 254 1
55 254 1
829 19 1
350 761 1
917 254 1
326 974 1
946 959 1
463 254 1
788 710 1
448 556 1
457 254 1
260 292 1
898 73 1
652 404 1
380 387 1
872 572 1
564 925 1
970 464 1
254 928 1
150 100 1
254 870 1
348 292 1
759 254 1
44 76 1
470 254 1
448 811 1
779 391 1
831 690 1
273 387 1
587 791 1
995 254 1
408 261 1
265 974 1
740 323 1
573 656 1
373 254 1
185 353 1
342 254 1
621 192 1
254 430 1
54 863 1
26 224 1
823 974 1
301 993 1
864 519 1
740 890 1
254 477 1
894 140 1
105 325 1
949 430 1
985 254 1
469 137 1
469 764 1
380 661 1
792 234 1
385 965 1
254 456 1
416 974 1
551 974 1
601 974 1
360 390 1
46 586 1
274 254 1
192 974 1
137 254 1
254 446 1
589 443 1
861 557 1
714 378 1
962 943 1
51 598 1
326 828 1
775 143 1
814 616 1
290 904 1
385 765 1
14 576 1
506 238 1
559 384 1
23 448 1
463 26 1
304 581 1
308 722 1
495 346 1
892 954 1
239 839 1
517 402 1
472 367 1
666 282 1
915 440 1
760 627 1
838 776 1
963 455 1
641 434 1
263 254 1
319 151 1
495 762 1
106 468 1
479 901 1
233 974 1
254 668 1
790 974 1
261 254 1
272 974 1
10 214 1
769 665 1
530 382 1
686 851 1
727 974 1
525 434 1
803 58 1
37 6 1
953 99 1
369 400 1
487 26 1
254 857 1
668 941 1
362 190 1
554 254 1
305 58 1
113 605 1
427 664 1
138 110 1
784 181 1
365 961 1
175 227 1
601 63 1
836 974 1
114 974 1
175 341 1
249 258 1
927 974 1
597 292 1
759 974 1
408 450 1
12 254 1
57 130 1
254 717 1
954 321 1
338 909 1
715 164 1
44 747 1
301 290 1
485 7 1
392 254 1
996 34 1
195 254 1
650 668 1
5 974 1
323 853 1
95 903 1
361 964 1
263 766 1
744 22 1
200 545 1
134 341 1
254 972 1
633 37 1
249 601 1
180 974 1
432 254 1
20 399 1
254 303 1
254 681 1
254 501 1
254 237 1
543 727 1
555 201 1
653 254 1
661 964 1
92 379 1
886 593 1
254 735 1
909 974 1
221 806 1
521 793 1
916 950 1
254 969 1
946 892 1
766 942 1
193 957 1
29 514 1
935 452 1
26 857 1
214 464 1
479 468 1
797 660 1
770 713 1
141 95 1
879 89 1
264 428 1
455 227 1
305 592 1
869 58 1
132 381 1
151 984 1
55 223 1
25 761 1
360 802 1
366 472 1
408 258 1
644 640 1
795 354 1
215 527 1
777 254 1
512 254 1
595 486 1
540 397 1
254 467 1
408 423 1
581 7 1
937 710 1
311 219 1
924 514 1
328 562 1
963 548 1
738 720 1
989 808 1
254 590 1
231 974 1
440 542 1
701 749 1
971 230 1
16 637 1
792 974 1
3 2 1
852 254 1
249 254 1
561 951 1
888 906 1
325 254 1
37 374 1
51 254 1
670 974 1
630 44 1
52 273 1
487 395 1
320 336 1
647 365 1
62 201 1
266 597 1
989 547 1
462 698 1
170 440 1
254 52 1
613 357 1
295 909 1
211 279 1
991 489 1
831 634 1
893 937 1
939 254 1
666 271 1
524 636 1
447 734 1
533 782 1
311 542 1
773 254 1
232 399 1
515 912 1
406 578 1
410 815 1
254 248 1
651 588 1
369 413 1
70 847 1
407 926 1
719 254 1
902 974 1
363 452 1
418 668 1
533 209 1
835 377 1
400 974 1
122 171 1
442 562 1
1 726 1
862 52 1
265 419 1
274 681 1
646 480 1
964 285 1
924 29 1
254 374 1
224 445 1
254 620 1
316 684 1
253 323 1
820 180 1
891 134 1
292 357 1
827 974 1
685 942 1
221 216 1
610 974 1
3 13 1
363 254 1
568 71 1
55 389 1
1000 400 1
109 546 1
841 254 1
913 755 1
714 254 1
255 974 1
912 545 1
1 690 1
254 851 1
826 974 1
981 427 1
756 755 1
989 974 1
157 440 1
909 609 1
190 497 1
334 951 1
483 974 1
289 630 1
401 131 1
67 236 1
914 974 1
478 74 1
129 974 1
254 875 1
781 254 1
254 907 1
111 424 1
254 817 1
24 402 1
605 593 1
224 182 1
204 483 1
752 602 1
756 737 1
548 271 1
238 52 1
937 706 1
448 700 1
503 974 1
887 132 1
679 974 1
647 564 1
287 603 1
922 659 1
254 860 1
339 928 1
338 644 1
642 254 1
333 178 1
254 747 1
304 254 1
877 938 1
263 883 1
69 254 1
834 254 1
673 974 1
381 179 1
882 592 1
254 847 1
598 370 1
783 450 1
254 302 1
463 846 1
454 256 1
695 594 1
117 233 1
69 476 1
754 626 1
254 409 1
943 541 1
179 974 1
911 710 1
713 895 1
442 988 1
669 974 1
703 462 1
979 914 1
254 171 1
299 576 1
951 903 1
328 289 1
764 405 1
141 40 1
234 632 1
660 530 1
524 533 1
771 437 1
23 183 1
504 434 1
241 218 1
543 60 1
915 974 1
48 808 1
507 35 1
113 706 1
938 254 1
151 685 1
608 254 1
984 527 1
494 814 1
838 730 1
203 851 1
44 588 1
639 84 1
267 275 1
308 254 1
449 730 1
310 562 1
220 118 1
30 163 1
286 974 1
123 969 1
566 973 1
451 734 1
254 965 1
879 603 1
415 49 1
639 681 1
308 565 1
626 254 1
993 727 1
5 880 1
551 19 1
367 497 1
98 511 1
649 347 1
75 974 1
741 254 1
466 242 1
133 302 1
254 143 1
1 546 1
39 909 1
371 974 1
783 895 1
714 974 1
902 682 1
869 577 1
145 886 1
409 612 1
664 635 1
38 254 1
254 959 1
65 223 1
249 685 1
245 11 1
154 426 1
488 739 1
254 73 1
741 357 1
832 507 1
651 739 1
857 526 1
842 254 1
144 398 1
296 254 1
455 23 1
988 520 1
46 974 1
622 493 1
751 773 1
249 446 1
599 735 1
481 510 1
610 423 1
98 639 1
148 254 1
411 364 1
254 156 1
112 572 1
470 256 1
786 974 1
254 518 1
486 974 1
254 591 1
743 638 1
408 199 1
271 429 1
485 992 1
415 785 1
958 237 1
666 150 1
134 501 1
417 320 1
263 578 1
647 199 1
124 62 1
458 507 1
254 44 1
697 556 1
197 705 1
647 771 1
487 502 1
441 433 1
327 68 1
141 737 1
991 270 1
323 74 1
945 254 1
676 922 1
385 945 1
444 460 1
157 8 1
650 6 1
606 899 1
944 53 1
988 60 1
314 809 1
622 485 1
675 254 1
25 70 1
832 871 1
254 977 1
614 388 1
254 49 1
617 254 1
866 612 1
137 127 1
71 955 1
254 155 1
56 254 1
117 114 1
731 614 1
653 745 1
395 876 1
763 254 1
467 713 1
732 254 1
101 564 1
921 627 1
751 169 1
819 864 1
282 576 1
835 254 1
345 806 1
525 254 1
385 268 1
254 632 1
331 974 1
254 423 1
359 199 1
810 145 1
203 535 1
819 576 1
278 207 1
975 830 1
84 503 1
261 207 1
482 254 1
825 698 1
226 536 1
669 612 1
315 179 1
151 268 1
139 254 1
361 275 1
590 974 1
702 974 1
719 705 1
532 151 1
494 355 1
521 717 1
502 664 1
121 98 1
731 442 1
892 801 1
120 659 1
201 111 1
425 974 1
336 974 1
675 959 1
254 240 1
823 182 1
253 285 1
574 870 1
725 246 1
307 934 1
516 624 1
213 987 1
667 597 1
625 889 1
337 706 1
763 22 1
768 88 1
707 654 1
267 505 1
947 458 1
652 974 1
962 851 1
406 339 1
783 68 1
722 350 1
786 95 1
988 320 1
499 152 1
498 906 1
321 875 1
293 973 1
251 470 1
623 164 1
417 836 1
51 220 1
849 625 1
651 974 1
723 863 1
25 906 1
825 974 1
254 935 1
528 907 1
50 806 1
768 19 1
665 514 1
438 129 1
759 910 1
5 7 1
147 850 1
306 646 1
441 853 1
902 612 1
524 558 1
108 793 1
226 254 1
861 974 1
254 149 1
254 575 1
831 960 1
72 428 1
566 974 1
488 254 1
671 184 1
254 438 1
459 823 1
633 974 1
307 244 1
408 935 1
750 254 1
371 948 1
350 624 1
141 838 1
995 544 1
880 254 1
139 741 1
619 974 1
84 174 1
929 254 1
102 20 1
215 182 1
418 457 1
44 974 1
837 506 1
71 460 1
789 86 1
431 213 1
830 997 1
761 974 1
435 776 1
27 974 1
146 781 1
152 473 1
559 876 1
848 886 1
198 241 1
854 909 1
224 652 1
442 53 1
675 741 1
346 670 1
134 519 1
771 670 1
254 182 1
694 575 1
120 292 1
679 254 1
672 974 1
277 325 1
716 733 1
932 167 1
818 767 1
139 483 1
693 986 1
517 254 1
897 968 1
544 186 1
591 974 1
10 886 1
254 452 1
254 950 1
510 59 1
651 254 1
372 254 1
394 281 1
122 974 1
224 216 1
696 171 1
862 696 1
622 708 1
626 867 1
632 635 1
962 254 1
644 306 1
534 751 1
661 428 1
222 974 1
963 974 1
683 296 1
982 703 1
801 256 1
930 143 1
358 254 1
705 974 1
869 974 1
617 836 1
48 717 1
126 699 1
257 141 1
788 213 1
465 337 1
301 160 1
587 118 1
214 254 1
947 592 1
284 943 1
138 84 1
587 516 1
260 122 1
881 430 1
632 870 1
412 741 1
589 254 1
788 626 1
573 128 1
334 131 1
301 467 1
710 940 1
499 889 1
615 974 1
28 974 1
284 920 1
254 556 1
222 17 1
839 588 1
88 388 1
254 389 1
211 828 1
842 699 1
654 112 1
934 28 1
168 326 1
554 634 1
254 75 1
764 974 1
80 254 1
987 140 1
110 974 1
158 974 1
687 881 1
254 94 1
36 456 1
254 778 1
203 317 1
338 516 1
254 592 1
439 941 1
543 974 1
99 430 1
280 974 1
993 543 1
540 14 1
686 689 1
344 89 1
460 974 1
441 142 1
788 974 1
62 297 1
36 130 1
615 352 1
258 419 1
289 513 1
885 476 1
975 163 1
254 498 1
192 791 1
109 262 1
947 423 1
877 971 1
254 659 1
133 254 1
481 893 1
296 693 1
254 356 1
922 516 1
835 645 1
103 43 1
294 440 1
340 171 1
254 542 1
226 543 1
254 204 1
709 458 1
71 268 1
745 368 1
672 682 1
128 296 1
46 328 1
994 659 1
43 181 1
196 974 1
191 514 1
600 209 1
347 22 1
656 577 1
284 855 1
866 254 1
418 630 1
63 820 1
870 585 1
908 135 1
197 941 1
819 974 1
771 934 1
151 679 1
683 665 1
309 625 1
405 498 1
317 843 1
408 151 1
898 505 1
117 490 1
621 128 1
709 796 1
859 286 1
295 339 1
824 893 1
39 254 1
971 564 1
91 727 1
408 254 1
701 759 1
195 483 1
831 916 1
353 699 1
617 152 1
284 900 1
826 254 1
60 974 1
462 67 1
160 845 1
827 498 1
254 544 1
66 254 1
254 229 1
445 903 1
946 974 1
126 254 1
226 974 1
43 175 1
819 254 1
260 947 1
680 715 1
159 645 1
187 855 1
710 520 1
917 17 1
751 8 1
304 438 1
604 136 1
254 583 1
254 698 1
844 974 1
421 679 1
565 926 1
15 365 1
108 551 1
277 587 1
254 881 1
205 315 1
254 497 1
538 742 1
84 254 1
92 254 1
352 597 1
648 28 1
254 902 1
824 918 1
501 974 1
428 502 1
254 585 1
147 974 1
461 419 1
887 4 1
757 449 1
793 19 1
366 974 1
704 326 1
105 973 1
296 705 1
745 336 1
170 974 1
630 37 1
476 974 1
418 317 1
548 974 1
176 498 1
69 727 1
606 721 1
254 31 1
298 518 1
631 254 1
789 254 1
232 254 1
843 254 1
695 118 1
56 373 1
801 558 1
273 705 1
364 541 1
891 493 1
573 254 1
306 201 1
514 313 1
476 772 1
758 493 1
165 753 1
155 40 1
594 755 1
12 696 1
998 254 1
101 776 1
872 566 1
660 974 1
839 430 1
202 496 1
295 218 1
559 228 1
224 194 1
691 54 1
21 477 1
678 414 1
735 387 1
620 682 1
852 629 1
190 974 1
277 151 1
310 254 1
176 833 1
759 8 1
254 173 1
645 74 1
597 486 1
64 781 1
856 925 1
728 922 1
863 974 1
254 557 1
843 947 1
810 254 1
497 9 1
108 504 1
325 507 1
254 516 1
397 838 1
69 673 1
635 974 1
90 619 1
790 321 1
124 566 1
891 361 1
760 859 1
713 974 1
602 254 1
254 82 1
351 974 1
133 339 1
935 974 1
867 974 1
826 493 1
254 864 1
254 193 1
254 662 1
15 823 1
543 271 1
254 190 1
533 318 1
865 254 1
370 974 1
852 974 1
392 710 1
108 480 1
394 111 1
822 422 1
801 65 1
96 840 1
40 974 1
662 281 1
310 38 1
463 486 1
145 697 1
371 864 1
897 627 1
275 254 1
963 60 1
582 510 1
887 802 1
101 254 1
918 351 1
909 309 1
210 403 1
570 464 1
805 322 1
254 293 1
395 802 1
696 974 1
254 612 1
222 603 1
494 569 1
919 784 1
16 127 1
669 839 1
951 813 1
665 367 1
298 179 1
123 712 1
311 857 1
254 359 1
785 323 1
667 671 1
422 189 1
540 254 1
170 254 1
298 942 1
666 254 1
571 254 1
47 483 1
254 802 1
110 579 1
560 254 1
254 624 1
421 9 1
232 655 1
784 254 1
837 204 1
308 770 1
746 374 1
234 974 1
226 690 1
988 254 1
817 972 1
887 454 1
416 467 1
833 987 1
83 934 1
61 254 1
861 376 1
665 254 1
340 8 1
928 817 1
911 477 1
999 273 1
777 78 1
864 973 1
676 40 1
565 254 1
276 471 1
553 792 1
362 974 1
24 254 1
561 844 1
758 254 1
3 874 1
719 315 1
366 254 1
723 413 1
469 165 1
812 351 1
784 974 1
619 230 1
375 254 1
500 503 1
702 268 1
304 378 1
754 265 1
324 817 1
614 662 1
147 703 1
128 530 1
629 772 1
363 295 1
720 498 1
760 254 1
882 254 1
211 296 1
441 413 1
276 109 1
615 116 1
799 986 1
254 937 1
521 9 1
254 489 1
856 133 1
254 297 1
880 625 1
873 851 1
441 539 1
24 901 1
184 556 1
646 254 1
998 796 1
416 973 1
918 162 1
138 937 1
314 737 1
254 700 1
145 858 1
186 906 1
137 807 1
621 820 1
764 254 1
517 580 1
422 279 1
647 329 1
651 54 1
295 715 1
254 262 1
912 49 1
952 975 1
582 783 1
102 8 1
306 511 1
254 320 1
988 603 1
254 464 1
843 606 1
36 254 1
813 681 1
763 787 1
709 498 1
990 88 1
254 712 1
254 697 1
279 974 1
19 4 1
741 384 1
251 254 1
64 210 1
254 22 1
254 230 1
504 254 1
254 783 1
86 431 1
826 392 1
254 510 1
21 999 1
890 737 1
466 153 1
290 315 1
289 254 1
952 496 1
417 671 1
50 254 1
535 974 1
971 507 1
254 526 1
472 974 1
92 724 1
525 630 1
862 467 1
939 581 1
881 961 1
198 616 1
812 254 1
254 259 1
254 162 1
386 623 1
92 961 1
301 502 1
669 240 1
83 40 1
245 527 1
729 367 1
197 60 1
228 557 1
316 613 1
754 612 1
5 766 1
519 974 1
834 2 1
193 627 1
701 235 1
963 113 1
706 174 1
334 284 1
641 759 1
254 35 1
864 518 1
110 825 1
345 18 1
552 393 1
193 207 1
407 254 1
692 974 1
137 709 1
269 670 1
647 254 1
641 892 1
267 781 1
795 614 1
854 868 1
390 736 1
286 543 1
568 974 1
254 142 1
793 266 1
206 855 1
656 895 1
746 564 1
667 871 1
364 259 1
254 960 1
462 208 1
716 171 1
447 204 1
110 270 1
818 356 1
306 270 1
366 425 1
589 310 1
132 836 1
458 974 1
757 660 1
5 273 1
790 73 1
455 616 1
955 281 1
192 189 1
221 114 1
226 996 1
691 264 1
641 496 1
710 901 1
576 974 1
729 646 1
254 77 1
289 358 1
943 806 1
457 70 1
644 598 1
25 768 1
162 140 1
443 376 1
85 346 1
136 266 1
591 936 1
254 256 1
254 629 1
646 17 1
810 849 1
148 596 1
254 509 1
653 514 1
791 68 1
359 830 1
30 229 1
104 889 1
79 887 1
893 959 1
254 135 1
254 63 1
73 906 1
646 974 1
109 254 1
303 579 1
933 453 1
703 469 1
442 104 1
552 864 1
479 434 1
719 775 1
131 281 1
547 357 1
46 966 1
502 941 1
629 129 1
868 244 1
771 136 1
226 748 1
254 382 1
686 208 1
469 254 1
39 160 1
660 774 1
534 312 1
600 254 1
159 319 1
687 974 1
754 828 1
139 186 1
914 849 1
104 321 1
90 169 1
344 200 1
653 974 1
763 473 1
94 974 1
365 974 1
63 974 1
889 490 1
558 974 1
573 360 1
303 774 1
317 300 1
122 382 1
